x,y
1.7696762970585962,2.322734088585856
1.4039296503759555,1.5064221380575722
1.8000977212645337,1.3525467394839081
1.646976032392879,1.180966437544349
1.5442686873004885,1.4556589524634895
2.116468042260018,2.0764790388863728
0.8991970505091511,2.1079951149650724
2.3144320057772743,1.0927729861597517
1.657453056665951,2.703291903905372
2.109052593457442,1.275821684922453
1.3375449651365654,2.468994470714497
2.1599471660474956,1.8508707826058675
1.9846350852084897,2.4322489221726844
2.1449546571060565,1.9017876884844414
2.225109976396184,1.54984356732075
1.7348589662496994,1.7140533979635886
1.3168289250802991,1.9343215928238828
1.7872575918288192,2.02858057501956
1.816430323285867,1.922390810066808
2.4590708433481954,3.292009810513001
1.896589085907396,1.8968729898241774
2.015100859377787,2.5121225534410083
2.67170516065664,2.4106611203365054
2.1010618151425144,1.9022422417362275
2.46522347038363,2.0910976984675735
2.295259011971892,1.5845969659257313
2.1888862097569826,2.4129678315132113
1.8718408580513402,2.0010660348103935
2.8600196147778374,2.3493275641483207
2.748768080982157,1.8382710962345592
2.974894376761737,1.7725786693293233
2.0784089876821508,1.8034417685864685
2.6907488132758814,1.5818932621088755
1.3754721247550195,1.6894296089311829
1.143359970935264,1.445931776324589
2.923173588854386,2.3681259526927554
2.4770595253899006,1.0713932484954123
1.291485057171982,1.9718340153548777
1.7717662212283305,1.8908228115811125
1.5940932805818038,2.0140428065258535
1.6495991314738387,1.5285902824383009
2.2381715022200512,1.5638505148142499
2.240277714468076,1.643744602738174
1.730756730965127,2.8025737117934515
2.1811511368455747,1.6451871674956426
1.9695541217979986,1.6550479915259946
1.4234422508548268,2.2171841421351606
3.3570726492931975,2.6396091172226255
2.6617458580055473,1.7521116503751908
0.9719068892074101,2.345840767242019
2.3226722114792286,1.5260425357872929
2.0775561639904816,1.8865326883421203
1.2119523058743096,1.9349389861004722
2.035344991166453,1.9971099203896774
2.8088277500349617,1.7609044029859808
1.5058969123055526,2.519578061001207
2.4076895305144546,1.3883087170061734
1.42540402956825,2.0043820429060832
1.1207024005668074,2.0728156190105422
1.4024357136654162,2.2723062133098466
1.4575907490780289,2.0071071230681157
1.795588988077475,1.2068838770938086
1.8401466526511432,2.1955214378239902
1.7609980640330016,1.847465018238161
1.2456210204284757,2.278707391207837
2.27035717830259,2.2527747982895256
1.7938149059247104,1.5059815891093593
1.5821791050209209,2.547128264552293
1.7951259925543135,2.0796787839473763
2.0095701226279656,1.992885436142763
1.727900857971936,2.558527869758957
1.9672792997985498,2.4501496962496
0.8681484498698158,1.768449600689567
1.4867611452339915,2.5936752940972143
0.9029140858458775,2.5116493234501354
3.1624824683347796,1.196596048676617
1.710234817238148,1.484697269024301
1.9754608959995732,2.2768914634734196
2.4644425848681677,1.318451554954992
2.755439076629319,1.9755118034967913
